H, vodik
He, helium
Li, litium
Be, berylium
B, bor
C, uhlik
N, dusik
O, kyslik
F, fluor
Ne, neon
Na, sodik
Mg, horcik
Al, hlinik
Si, kremik
P, fosfor
S, sira
Cl, chlor
Ar, argon
K, draslik
Ca, vapnik
Sc, skandium
Ti, titan
V, vanad
Cr, chrom
Mn, mangan
Fe, zelezo
Co, kobalt
Ni, nikel
Cu, med
Zn, zinok
Ga, galium
Ge, germanium
As, arzen
Se, selen
Br, brom
Kr, krypton
Rb, rubidium
Sr, stroncium
Y, ytrium
Zr, zirkonium
Nb, niob
Mo, molybden
Tc, technecium
Ru, rutenium
Rh, rodium
Pd, paladium
Ag, striebro
Cd, kadmium
In, Indium
Sn, cin
Sb, antimon
Te, telur
I, jod
Xe, xenon
Cs, cezium
Ba, barium
Hf, hafnium
Ta, tantal
W, volfram
Re, renium
Os, osmium
Ir, iridium
Pt, platina
Au, zlato
Hg, ortut
Tl, talium
Pb, olovo
Bi, bizmut
Po, polonioum
At, astat
Rn, radon
Fr, francium
Ra, radium
